FECHA,TMAX,TMIN,TPROM,NOMBRE
Mar-2022,23.81,11.57,17.69,NUEVE DE JULIO
Abr-2022,22.93,9.50,16.22,NUEVE DE JULIO
May-2022,17.84,5.83,11.84,NUEVE DE JULIO
Jun-2022,15.10,2.96,9.03,NUEVE DE JULIO
Jul-2022,16.36,4.95,10.66,NUEVE DE JULIO
Ago-2022,19.22,4.95,12.09,NUEVE DE JULIO
Set-2022,22.47,6.91,14.69,NUEVE DE JULIO
Oct-2022,24.08,9.01,16.55,NUEVE DE JULIO
Nov-2022,29.83,14.18,22.00,NUEVE DE JULIO
Dec-2022,32.91,16.27,24.59,NUEVE DE JULIO
Ene-2023,33.41,18.05,25.73,NUEVE DE JULIO
Feb-2023,32.17,15.70,23.94,NUEVE DE JULIO
Mar-2023,36.27,20.35,28.31,NUEVE DE JULIO
